test,source,target,dijkstra_travel_time,astar_travel_time,dijkstra_path_length,astar_path_length,paths_identical,path_overlap_pct,time_diff,improvement_pct
1,343361878,3913990605,848.874156335803,848.874156335803,79,79,True,100.0,0.0,0.0
2,29936882,8192844368,307.05036783208965,307.05036783208965,29,29,True,100.0,0.0,0.0
3,288983188,7567103494,233.09095281513197,233.09095281513197,27,27,True,100.0,0.0,0.0
4,250765170,3743254731,677.6717477081929,677.6717477081929,66,66,True,100.0,0.0,0.0
5,338774042,3478231664,847.8523548947447,847.8523548947447,78,78,True,100.0,0.0,0.0
