test,source,target,dijkstra_travel_time,astar_travel_time,dijkstra_path_length,astar_path_length,paths_identical,path_overlap_pct,time_diff,improvement_pct
1,343361878,584179746,669.5160263195315,669.5160263195315,90,90,True,100.0,0.0,0.0
2,29936882,11110429486,749.8680429674939,749.8680429674939,51,51,True,100.0,0.0,0.0
3,317704498,646097151,471.9536605229783,471.9536605229783,58,58,True,100.0,0.0,0.0
4,266729473,616471159,799.1684357328352,799.1684357328352,85,85,True,100.0,0.0,0.0
5,347295792,577241926,373.6615510074532,373.6615510074532,42,42,True,100.0,0.0,0.0
