test,source,target,dijkstra_travel_time,astar_travel_time,dijkstra_path_length,astar_path_length,paths_identical,path_overlap_pct,time_diff,improvement_pct
1,343361878,3913990605,470.68151137638745,537.3741617298258,70,69,False,5.714285714285714,-66.69265035343835,-14.169379663631315
2,29936882,8192844368,239.48463091326786,264.55414404332134,31,36,False,11.11111111111111,-25.06951313005348,-10.468109387417305
3,288983188,7567103494,183.61968324945602,197.22621622020898,26,26,False,15.384615384615385,-13.606532970752966,-7.410171246329757
